# -608257.273578
0. *NULL* 
-2.91650384399e-17 ,  _,
-6.46976429868 FRAG  NP _'s VP _.
-7.56578524099 FRAG  WHADVP SQ
-7.56578524099 FRAG  NP , WHNP .
-4.07234090207 FRAG  SBAR _.
-6.87496996977 FRAG  NNP .
-7.56733924286 FRAG  INTJ , NP _, INTJ _.
-14.0334839671 FRAG  INTJ , VP .
-14.0334839671 FRAG  ADJP , ADJP
-7.56733924286 FRAG  WHADJP ADJP _.
-7.56578524099 FRAG  NOT ADVP NP VP .
-14.0334839671 FRAG  WHADVP VP
-14.0334839671 FRAG  WHADVP S
-14.0334839671 FRAG  VP , NP .
-14.0334839671 FRAG  INTJ , ADVP .
-5.37149803078 FRAG  NP ADJP _.
-14.0334839671 FRAG  INTJ , NP VP .
-6.87496996977 FRAG  _just _one NN ADVP .
-6.87496996977 FRAG  ADJP IN _what .
-4.57300763874 FRAG  WHNP _?
-6.46924549193 FRAG  ADVP .
-5.95914627301 FRAG  NNP NN _?
-6.87496996977 FRAG  _it VP CC _.
-5.62254057552 FRAG  ADJP
-7.56578524099 FRAG  ADVP ADVP NP VP
-14.0334839671 FRAG  ADJP , VP .
-14.0334839671 FRAG  NOT ADJP .
-6.87496996977 FRAG  NP _?
-6.87496996977 FRAG  WHNP WHNP _?
-5.48906478943 FRAG  DT NN
-14.0334839671 FRAG  NP NP VP .
-14.0334839671 FRAG  NP , INTJ .
-14.0334839671 FRAG  ADJP ADVP .
-5.62276302019 FRAG  NN _what _?
-6.46976429868 FRAG  ADVP _it VP .
-6.46976429868 FRAG  NP _, NP , NP .
-14.0334839671 FRAG  WHNP S .
-14.0334839671 FRAG  CC ADVP S .
-6.18143375983 FRAG  VP .
-14.0334839671 FRAG  ADVP NOT .
-4.92972708052 FRAG  CD NNS .
-14.0334839671 FRAG  CC WHNP PP .
-5.48906478943 FRAG  NP
-14.0334839671 FRAG  ADVP NP .
-14.0334839671 FRAG  WHNP NP PP .
-14.0334839671 FRAG  SBARQ
-6.87496996977 FRAG  UH PP .
-5.95883489203 FRAG  SBAR
-7.56733924286 FRAG  INTJ , NP NP _?
-7.56733924286 FRAG  NP _where .
-7.56578524099 FRAG  VP NP NP .
-5.77687662247 FRAG  _not RB .
-7.56733924286 FRAG  NN _?
-6.18221196999 FRAG  VBG NP _?
-14.0334839671 FRAG  ADJP , INTJ .
-6.18182278921 FRAG  S CC NP VP
-7.56578524099 FRAG  NP ADVP WHNP .
-4.39077693382 FRAG  _and NP VP .
-14.0334839671 FRAG  S CC S , FRAG
-14.0334839671 FRAG  S CC FRAG .
-14.0334839671 FRAG  CC SQ .
-5.95914627301 FRAG  IN NP VP _.
-5.48906478943 FRAG  IN NP .
-14.0334839671 FRAG  WHADVP .
-14.0334839671 FRAG  WHPP .
-14.0334839671 FRAG  NOT NP .
-7.56578524099 FRAG  WHNP SQ .
-5.48906478943 FRAG  WHNP
-6.8741920623 FRAG  SBAR ADVP NP VP
-7.56578524099 FRAG  VBG PRT
-6.8741920623 FRAG  ADVP NP SBAR .
-7.56578524099 FRAG  ADJP , NOT PP .
-6.8741920623 FRAG  SBAR .
-14.0334839671 FRAG  NP , NP , NP , NP , NP , NP , VP .
-6.46924549193 FRAG  ADJP _?
-5.08372944191 FRAG  WHNP .
-4.57300763874 FRAG  ADVP PP .
-14.0334839671 FRAG  NP WHADVP .
-7.56578524099 FRAG  ADVP ADVP .
-6.18182278921 FRAG  COMP WHNP .
-14.0334839671 FRAG  CC NP VP .
-6.18221196999 FRAG  NP AUX VBG .
-6.18221196999 FRAG  CD _two .
-6.18221196999 FRAG  _one _, CD _, CD _, _four , _five _.
-5.77687662247 FRAG  _or NP .
-4.20149241627 FRAG  PRP VP
-7.56578524099 FRAG  NOT ADVP .
-14.0334839671 FRAG  NP CC WHNP .
-5.95914627301 FRAG  VP _?
-14.0334839671 FRAG  IN NP VP .
-6.87496996977 FRAG  INTJ _, _what PP .
-14.0334839671 FRAG  NP ADJP .
-5.95914627301 FRAG  PRP VBD NP .
-6.87496996977 FRAG  NNP _dl NP NP .
-6.8741920623 FRAG  ADJP WHNP .
-7.56578524099 FRAG  WHADVP WHNP VP .
-14.0334839671 FRAG  CC ADJP .
-7.56578524099 FRAG  UH .
-7.56578524099 FRAG  VP NP .
-7.56733924286 FRAG  INTJ CC S _.
-5.17043413918 FRAG  JJ
-7.56578524099 FRAG  WHADVP
-6.18221196999 FRAG  VB NP .
-6.18221196999 FRAG  _what NP .
-4.86063779955 FRAG  PP
-14.0334839671 FRAG  NP ADVP WHNP S .
-14.0334839671 FRAG  WHNP ADVP .
-7.56578524099 FRAG  NP VP .
-4.73549908527 FRAG  NP SBAR .
-6.46924549193 FRAG  NP CC S .
-7.56578524099 FRAG  INTJ , ADJP .
-6.87496996977 FRAG  _please VP _?
-6.18221196999 FRAG  NP ADJP _?
-6.18221196999 FRAG  IN NP ADVP _.
-7.56578524099 FRAG  NP VP SBAR
-14.0334839671 FRAG  NP PP , NP .
-14.0334839671 FRAG  NP VP , INTJ
-5.62276302019 FRAG  _one IN _a _time .
-7.56578524099 FRAG  CC NOT NP .
-6.87496996977 FRAG  RB S .
-6.87496996977 FRAG  _on NP _, INTJ
-6.87496996977 FRAG  PRP VP _and RB PRP VP
-7.56733924286 FRAG  _to SBARQ .
-14.0334839671 FRAG  INTJ , SBAR .
-6.18182278921 FRAG  NP PP
-4.57308551127 FRAG  _huh .
-7.56733924286 FRAG  WHNP , NP _.
-2.62012472605 FRAG  WHADVP _?
-6.87496996977 FRAG  NP , NP _?
-14.0334839671 FRAG  _and
-7.56733924286 FRAG  NP NP VP _.
-14.0334839671 FRAG  NP NP NP NP NP .
-7.56578524099 FRAG  NP WHNP .
-14.0334839671 FRAG  ADVP S .
-4.27300110898 FRAG  NN PP .
-14.0334839671 FRAG  WHADVP SQ .
-5.62276302019 FRAG  _just _like NNP _.
-14.0334839671 FRAG  NP ADVP CC NP .
-14.0334839671 FRAG  SQ NP .
-14.0334839671 FRAG  INTJ , PP .
-6.8741920623 FRAG  CC NP VP
-7.56578524099 FRAG  SBAR WHADVP S
-5.00382649525 FRAG  NP NP _.
-4.57308551127 FRAG  IN _your NN .
-5.37149803078 FRAG  VP , UH _.
-14.0334839671 FRAG  S CC
-7.56578524099 FRAG  CD CD CD CD
-3.78467062938 FRAG  PP _?
-7.56733924286 FRAG  _see .
-14.0334839671 FRAG  NP AUX VP .
-3.90525414188 FRAG  CC NP .
-14.0334839671 FRAG  NP , NP , NP , NP
-14.0334839671 FRAG  CC S CC S CC FRAG
-14.0334839671 FRAG  WHNP NP VP , NP .
-7.56578524099 FRAG  PP SBAR .
-14.0334839671 FRAG  NP VP VP .
-4.09293039802 IN  _under
-1.65330884379 IN  _in
-4.66822567762 IN  _as
-5.61199496179 IN  _next
-4.3006365137 IN  _into
-5.25565982643 IN  _without
-13.088467343 IN  _unless
-5.47860514204 IN  _near
-5.47860514204 IN  _than
-6.45778395731 IN  _but
-7.55113307594 IN  _upon
-5.47860514204 IN  _up
-2.44075933967 IN  _for
-7.55113307594 IN  _since
-13.088467343 IN  _that
-4.30033140309 IN  _out
-7.55113307594 IN  _back
-6.86193067367 IN  _along
-5.07314003393 IN  _behind
-4.33984502064 IN  _off
-3.24139142434 IN  _from
-7.55113307594 IN  _once
-6.45778395731 IN  _onto
-4.22640866556 IN  _through
-5.36093223248 IN  _before
-4.99347858365 IN  _around
-1.9564948776 IN  _on
-4.85045909374 IN  _down
-2.85812508289 IN  _to
-7.55113307594 IN  _o'
-2.85794480201 IN  _like
-2.73021671059 IN  _with
-6.45778395731 IN  _until
-5.94801429985 IN  _between
-2.98391826225 IN  _at
-6.45778395731 IN  _except
-6.17076173312 IN  _across
-7.55113307594 IN  _during
-6.86193067367 IN  _instead
-6.86193067367 IN  _so
-7.55113307594 IN  _til
-5.47860514204 IN  _after
-3.17661487409 IN  _about
-6.45778395731 IN  _toward
-4.19133200066 IN  _by
-7.55113307594 IN  _underneath
-5.61199496179 IN  _inside
-4.22655033872 IN  _over
-2.54790044213 IN  _of
-6.45646556556 IN  _if
-6.86193067367 IN  _against
-6.45778395731 IN  _outside
-6.85995633936 IN  _because
0. INT  UH
-7.24453239811 INTJ  ADVP .
-12.3861959546 INTJ  JJ NN
-6.15571450704 INTJ  _ok _?
-12.3861959546 INTJ  ADJP , NP .
-6.557250337 INTJ  UH ADVP
-3.30482596393 INTJ  _oh UH
-7.24453239811 INTJ  ADJP
-4.85786418791 INTJ  _no _no _no
-6.557250337 INTJ  _yes _.
-6.56019584723 INTJ  UH UH UH UH _.
-5.86557482706 INTJ  VP
-3.70078013078 INTJ  _oh _no
-7.25039751756 INTJ  _no _thank NP .
-7.24453239811 INTJ  UH UH UH .
-5.05710221837 INTJ  UH .
-12.3861959546 INTJ  UH UH UH UH UH UH
-12.3861959546 INTJ  JJ NP .
-2.15534898997 INTJ  UH
-12.3861959546 INTJ  JJ
-7.24453239811 INTJ  VP .
-4.48333876333 INTJ  _please .
-6.56019584723 INTJ  _no _, NP _, ADJP _.
-12.3861959546 INTJ  UH , UH .
-7.24453239811 INTJ  PP
-2.42769951905 INTJ  _well
-6.15374793806 INTJ  NP
-7.24453239811 INTJ  UH JJ NN
-7.24453239811 INTJ  UH VP
-12.3861959546 INTJ  NP PP .
-12.3861959546 INTJ  UH ADJP .
-12.3861959546 INTJ  NP .
-12.3861959546 INTJ  ADJP .
-6.1517852289 INTJ  UH _no
-7.25039751756 INTJ  UH UH UH _gobble UH UH
-12.3861959546 INTJ  UH VP .
-5.8685246817 INTJ  _careful
-7.25039751756 INTJ  _no , UH _.
-7.24453239811 INTJ  UH UH UH VB
-6.557250337 INTJ  RB
-5.64567659501 INTJ  _thank _you
-7.25039751756 INTJ  _oh _?
-6.56019584723 INTJ  _hmm _?
-4.12028862046 INTJ  _ok
-1.50027418771 INTJ  _oh
-6.56019584723 INTJ  _quack UH UH UH UH UH .
-2.25892505548 INTJ  _yes
-7.25039751756 INTJ  UH _!
-12.3861959546 INTJ  UH , NP .
-7.24453239811 INTJ  NP PP
-12.3861959546 INTJ  UH JJ .
-7.24453239811 INTJ  VB VB .
-6.15374793806 INTJ  UH UH .
-12.3861959546 INTJ  ADVP
-12.3861959546 INTJ  JJ .
-3.00771747036 INTJ  _no _no
-7.24453239811 INTJ  UH NP .
-12.3861959546 INTJ  UH UH UH UH .
-12.3861959546 INTJ  VB .
-4.36526823563 INTJ  _please
-12.3861959546 INTJ  UH , NP , ADJP .
-7.25039751756 INTJ  UH JJ _.
-7.25039751756 INTJ  JJ _, _Adam _.
-5.46355206314 INTJ  _now
-6.56019584723 INTJ  UH VP _.
-12.3861959546 INTJ  UH , VP .
-5.8685246817 INTJ  _so
-5.8685246817 INTJ  _um
-5.46355206314 INTJ  _alright .
-7.24453239811 INTJ  UH , ADJP .
-5.8685246817 INTJ  _no _no .
-12.3861959546 INTJ  ADVP VP .
-4.95252941445 INTJ  UH UH
-4.6168173451 INTJ  _here
-1.54246679605 INTJ  _no
-12.3861959546 INTJ  RB VP .
-6.557250337 INTJ  UH ADVP .
-7.24453239811 INTJ  UH UH UH UH
-7.24453239811 INTJ  UH UH UH
-6.56019584723 INTJ  _good NN
-12.3861959546 INTJ  WHNP .
-5.64567659501 INTJ  _well _no
-7.25039751756 INTJ  _ok _.
-5.46355206314 INTJ  _yeah
-12.3861959546 INTJ  UH UH UH UH UH UH .
-6.34589244278 JJ  _able
-7.44268157688 JJ  _blue NNS
-6.75090145053 JJ  _messy
-2.6494006131 JJ  _little
-7.44268157688 JJ  _asleep
-7.44268157688 JJ  _tricycle
-6.75090145053 JJ  _baggy
-7.44268157688 JJ  _crossing
-6.75090145053 JJ  _exasperated
-6.75090145053 JJ  _shiny
-3.36776402945 JJ  _nice
-5.24773646258 JJ  _much
-6.05843849853 JJ  _light
-7.44268157688 JJ  _rotary
-6.75090145053 JJ  _warm
-6.05843849853 JJ  _kind
-5.14255852863 JJ  _white
-6.75090145053 JJ  _slow
-7.44268157688 JJ  _sticky
-5.65320157069 JJ  _brown
-14.0384620908 JJ  _nursery
-6.75090145053 JJ  _dead
-7.44268157688 JJ  _moving
-7.44268157688 JJ  _embroidered
-6.75090145053 JJ  _intelligent
-6.75021768982 JJ  _part
-7.44268157688 JJ  _windy
-5.14255852863 JJ  _welcome
-7.44268157688 JJ  _cloudy
-7.44268157688 JJ  _ticklish
-5.49911609479 JJ  _sleepy
-6.34589244278 JJ  _Italian
-4.30980422934 JJ  _dirty
-7.44268157688 JJ  _scrambled
-5.49911609479 JJ  _next
-14.0384620908 JJ  _hurt
-6.34589244278 JJ  _brave
-7.44268157688 JJ  _morning
-6.75090145053 JJ  _crowded
-7.44268157688 JJ  _empty
-4.67265761624 JJ  _magic
-4.26724957762 JJ  _poor
-7.44268157688 JJ  _mommy
-5.49911609479 JJ  _sick
-6.05843849853 JJ  _special
-5.04727324891 JJ  _happy
-4.80616455152 JJ  _real
-5.65320157069 JJ  _favorite
-4.80616455152 JJ  _strong
-5.65320157069 JJ  _open
-7.44268157688 JJ  _beginning
-6.05843849853 JJ  _dotted
-7.44268157688 JJ  _Indian
-7.44268157688 JJ  _unhappy
-7.44268157688 JJ  _mock
-6.75090145053 JJ  _married
-7.44268157688 JJ  _papa
-7.44268157688 JJ  _jolly
-6.34589244278 JJ  _easy
-5.14255852863 JJ  _enough
-7.44268157688 JJ  _tagalong
-6.75090145053 JJ  _chewing
-7.44268157688 JJ  _police
-7.44268157688 JJ  _important
-5.65320157069 JJ  _flat
-7.44268157688 JJ  _hazy
-7.44268157688 JJ  _front
-7.44268157688 JJ  _mad
-7.44268157688 JJ  _serious
-7.44268157688 JJ  _legendary
-5.83543184913 JJ  _hot
-5.83543184913 JJ  _first
-4.11296845805 JJ  _alright
-5.83543184913 JJ  _straight
-7.44268157688 JJ  _wobbly
-7.44268157688 JJ  _landing
-14.0384620908 JJ  _up
-7.44268157688 JJ  _talented
-7.44268157688 JJ  _crumpled
-5.83543184913 JJ  _interesting
-7.44268157688 JJ  _past
-6.75090145053 JJ  _tasting
-5.36546244829 JJ  _just
-6.34543634243 JJ  _gone
-6.75090145053 JJ  _crashed
-7.44268157688 JJ  _color
-7.44268157688 JJ  _spring
-5.83543184913 JJ  _fresh
-7.44268157688 JJ  _Mexican
-6.34589244278 JJ  _out
-6.05843849853 JJ  _top
-7.44268157688 JJ  _useful
-7.44268157688 JJ  _alive
-14.0384620908 JJ  _else
-7.44268157688 JJ  _lumber
-7.44268157688 JJ  _back
-7.44268157688 JJ  _constant
-6.75090145053 JJ  _hassyc
-6.75090145053 JJ  _secret
-5.49911609479 JJ  _hungry
-7.44268157688 JJ  _daytime
-5.65320157069 JJ  _wet
-4.26724957762 JJ  _new
-6.34589244278 JJ  _off
-6.34589244278 JJ  _shaped
-6.75090145053 JJ  _both
-6.34589244278 JJ  _careless
-6.75090145053 JJ  _dizzy
-6.75090145053 JJ  _sad
-7.44268157688 JJ  _rolling
-4.88015212696 JJ  _wrong
-7.44268157688 JJ  _vegetable
-5.3656336079 JJ  _afraid
-4.50083439182 JJ  _hard
-7.44268157688 JJ  _cranky
-7.44268157688 JJ  _half
-7.44268157688 JJ  _slippery
-6.34589244278 JJ  _nervous
-6.34589244278 JJ  _noisy
-7.44268157688 JJ  _make
-5.24788861169 JJ  _old
-4.11311520396 JJ  _pretty
-7.44268157688 JJ  _on
-7.44268157688 JJ  _jingle
-5.49911609479 JJ  _clean
-5.49911609479 JJ  _soft
-6.05843849853 JJ  _delicious
-4.80616455152 JJ  _tiny
-7.44268157688 JJ  _pet
-6.75090145053 JJ  _safe
-6.34589244278 JJ  _missing
-6.75090145053 JJ  _circus
-7.44268157688 JJ  _done
-7.44268157688 JJ  _sunny
-7.44268157688 JJ  _ball
-4.55451321615 JJ  _careful
-6.34589244278 JJ  _washing
-7.44268157688 JJ  _invisible
-6.75090145053 JJ  _stupid
-7.44268157688 JJ  _shame
-7.44268157688 JJ  _dried
-7.44268157688 JJ  _plastic
-6.75090145053 JJ  _late
-7.44268157688 JJ  _down
-6.75090145053 JJ  _stuck
-5.65320157069 JJ  _large
-5.65320157069 JJ  _full
-7.44268157688 JJ  _marvelous
-5.36546244829 JJ  _ready
-6.75090145053 JJ  _healthy
-6.75090145053 JJ  _church
-7.44268157688 JJ  _strange
-4.67265761624 JJ  _yellow
-6.75090145053 JJ  _glad
-5.24788861169 JJ  _fun
-5.04714875467 JJ  _ok
-6.75090145053 JJ  _tight
-6.34589244278 JJ  _beautiful
-7.44268157688 JJ  _snow
-5.14255852863 JJ  _sure
-6.34589244278 JJ  _upsidedown
-7.44268157688 JJ  _purple
-7.44268157688 JJ  _bent
-7.44268157688 JJ  _automatic
-4.40076466434 JJ  _small
-4.30980422934 JJ  _busy
-6.34589244278 JJ  _round
-7.44268157688 JJ  _tricky
-7.44268157688 JJ  _extension
-5.65320157069 JJ  _baby
-6.05809632573 JJ  _tired
-6.05843849853 JJ  _smart
-6.75090145053 JJ  _quick
-7.44268157688 JJ  _Chinese
-7.44268157688 JJ  _polar
-6.75090145053 JJ  _dry
-4.80606672809 JJ  _same
-7.44268157688 JJ  _flower
-7.44268157688 JJ  _cement
-5.24788861169 JJ  _silly
-6.75090145053 JJ  _thin
-7.44268157688 JJ  _surprised
-4.55481751436 JJ  _last
-7.44268157688 JJ  _extra
-7.44268157688 JJ  _smelly
-4.50083439182 JJ  _black
-7.44268157688 JJ  _crazy
-6.75090145053 JJ  _rubber
-4.67265761624 JJ  _different
-7.44268157688 JJ  _sea
-7.44268157688 JJ  _quacky
-5.3656336079 JJ  _tall
-6.75090145053 JJ  _icecream
-6.75090145053 JJ  _runny
-7.44268157688 JJ  _cotton
-6.34589244278 JJ  _wide
-7.44268157688 JJ  _backwards
-6.34589244278 JJ  _dangerous
-5.83543184913 JJ  _naughty
-5.65320157069 JJ  _cold
-4.4494798248 JJ  _red
-7.44268157688 JJ  _prepared
-7.44268157688 JJ  _cooperative
-5.83543184913 JJ  _broken
-5.83543184913 JJ  _dark
-6.75090145053 JJ  _wavy
-6.75090145053 JJ  _particular
-5.83543184913 JJ  _ashamed
-7.44268157688 JJ  _still
-7.44268157688 JJ  _street
-6.75090145053 JJ  _marching
-7.44268157688 JJ  _cutting
-7.44268157688 JJ  _fair
-7.44268157688 JJ  _striped
-6.75090145053 JJ  _streamlined
-7.44268157688 JJ  _lazy
-7.44268157688 JJ  _blind
-7.44268157688 JJ  _called
-7.44268157688 JJ  _dusty
-6.75090145053 JJ  _separate
-7.44268157688 JJ  _bullet
-7.44268157688 JJ  _acrobatic
-3.61671660272 JJ  _funny
-7.44268157688 JJ  _misplaced
-7.44268157688 JJ  _middle
-6.75090145053 JJ  _true
-6.75090145053 JJ  _scared
-7.44268157688 JJ  _proper
-7.44268157688 JJ  _specific
-7.44268157688 JJ  _shaving
-6.75090145053 JJ  _gentle
-7.44268157688 JJ  _clever
-6.34589244278 JJ  _difficult
-7.44268157688 JJ  _bareback
-6.75090145053 JJ  _sore
-7.44268157688 JJ  _fourth
-7.44268157688 JJ  _frozen
-4.73718472388 JJ  _right
-7.44268157688 JJ  _sweet
-6.75090145053 JJ  _bright
-7.44268157688 JJ  _station
-7.44268157688 JJ  _car
-7.44268157688 JJ  _school
-7.44268157688 JJ  _written
-7.44268157688 JJ  _tummy
-6.75090145053 JJ  _uneven
-5.83543184913 JJ  _own
-6.75090145053 JJ  _saggy
-6.34589244278 JJ  _fine
-5.24788861169 JJ  _bad
-6.75090145053 JJ  _soxyc
-7.44268157688 JJ  _cool
-7.44268157688 JJ  _airplane
-7.44268157688 JJ  _sneezy
-5.49911609479 JJ  _high
-7.44268157688 JJ  _regular
-6.05843849853 JJ  _tattooed
-5.3656336079 JJ  _sorry
-7.44268157688 JJ  _terrific
-6.34589244278 JJ  _close
-7.44268157688 JJ  _friendly
-7.44268157688 JJ  _thick
-6.34589244278 JJ  _left
-6.05843849853 JJ  _pink
-7.44268157688 JJ  _modern
-7.44268157688 JJ  _stone
-4.88025747329 JJ  _heavy
-7.44268157688 JJ  _far
-6.05843849853 JJ  _oldfashioned
-6.75090145053 JJ  _fish
-7.44268157688 JJ  _booboo
-7.44268157688 JJ  _whole
-7.44268157688 JJ  _double
-4.35418832129 JJ  _green
-5.14255852863 JJ  _sharp
-6.34589244278 JJ  _finger
-7.44268157688 JJ  _rich
-2.69173289675 JJ  _big
-14.0384620908 JJ  _Rusty
-7.44268157688 JJ  _wonderful
-7.44268157688 JJ  _spread
-7.44268157688 JJ  _certain
-7.44268157688 JJ  _inside
-7.44268157688 JJ  _paper
-6.75090145053 JJ  _burned
-5.83543184913 JJ  _fast
-7.44268157688 JJ  _cute
-6.75090145053 JJ  _alike
-7.44268157688 JJ  _armored
-6.75090145053 JJ  _rough
-6.05843849853 JJ  _electric
-6.75090145053 JJ  _grabby
-14.0384620908 JJ  _no
-7.44268157688 JJ  _misshapen
-6.34589244278 JJ  _peculiar
-7.44268157688 JJ  _television
-7.44268157688 JJ  _ugly
-5.65320157069 JJ  _all
-6.05843849853 JJ  _deep
-7.44268157688 JJ  _mashed
-4.67257201813 JJ  _blue
-6.75090145053 JJ  _better
-6.34589244278 JJ  _second
-6.05843849853 JJ  _orange
-4.67265761624 JJ  _finished
-7.44268157688 JJ  _farm
-3.97959604113 JJ  _long
-3.2709459911 JJ  _good
-6.05843849853 JJ  _quiet
-6.75090145053 JJ  _best
-7.44268157688 JJ  _wheelbarrow
-6.75090145053 JJ  _interested
-6.34589244278 JJ  _toy
-7.44268157688 JJ  _mechanical
-7.44268157688 JJ  _grey
-6.05843849853 JJ  _lost
-6.75090145053 JJ  _outside
-6.05843849853 JJ  _only
-6.34589244278 JJ  _frightened
-6.75090145053 JJ  _popsicle
-7.44268157688 JJ  _wise
-7.44268157688 JJ  _colonial
-4.44927440866 JJ  _many
-7.44268157688 JJ  _several
-7.44268157688 JJ  _colored
-6.75090145053 JJ  _set
-7.44268157688 JJ  _band
-6.75090145053 JJ  _tatooed
-6.34589244278 JJ  _few
-7.44268157688 JJ  _bunny
-14.0384620908 JJ  _key
-7.44268157688 JJ  _angry
-5.65320157069 JJ  _chewy
-7.44268157688 JJ  _wizzyc
-3.63835940701 JJ  _other
-7.44268157688 JJ  _liquid
-4.48258907258 JJR  _taller
-3.81413450461 JJR  _longer
-3.81413450461 JJR  _smaller
-4.48258907258 JJR  _closer
-4.48258907258 JJR  _larger
-4.48258907258 JJR  _further
-4.48258907258 JJR  _older
-4.48258907258 JJR  _wider
-4.48258907258 JJR  _faster
-2.12773555104 JJR  _bigger
-4.48258907258 JJR  _stronger
-3.13356610626 JJR  _easier
-0.401337987104 JJR  _more
-4.48258907258 JJR  _darker
-3.81413450461 JJR  _better
-1.09861228867 JJS  _biggest
-1.09861228867 JJS  _most
-1.09861228867 JJS  _lowest
-3.03658765435 MD  _'ll
-4.20740825136 MD  _must
-4.82482204382 MD  _wo
-1.03272448253 MD  _can
-1.97171088255 MD  _would
-6.06993679148 MD  _ought
-2.3205895906 MD  _will
-2.66496874992 MD  _may
-6.74983874529 MD  _cannot
-4.57329437319 MD  _shall
-2.03110493919 MD  _could
-3.34121288289 MD  _might
-2.92578451281 MD  _should
-3.4418922617 MD  _'d
-8.11094957376 NN  _goose
-8.11094957376 NN  _carrier
-8.80371846796 NN  _dot
-7.70561059292 NN  _show
-6.85845689746 NN  _brush
-8.80371846796 NN  _much
-7.19488588242 NN  _swordfish
-8.11094957376 NN  _nurse
-5.47218956957 NN  _kind
-8.80371846796 NN  _cafe
-7.70561059292 NN  _boxer
-8.80371846796 NN  _army
-8.80371846796 NN  _automobile
-8.80371846796 NN  _thrower
-8.80371846796 NN  _ax
-8.11094957376 NN  _trick
-8.11094957376 NN  _roadgrader
-4.85320235022 NN  _cowboy
-8.11094957376 NN  _channel CD
-8.11094957376 NN  _snack
-8.80371846796 NN  _patrol
-7.41799159006 NN  _carrot
-8.80371846796 NN  _record_phonec
-8.80371846796 NN  _anchor
-7.70561059292 NN  _jar
-8.80371846796 NN  _etcetera
-5.71339832189 NN  _wagon
-8.80371846796 NN  _special
-6.85845689746 NN  _grain
-8.80371846796 NN  _business
-8.80371846796 NN  _drink
-7.41799159006 NN  _cardyc
-8.80371846796 NN  _master
-6.31950545253 NN  _matter
-8.11094957376 NN  _truth
-8.80371846796 NN  _fright
-8.80371846796 NN  _visitor
-8.80371846796 NN  _llama
-8.80371846796 NN  _punchball
-8.11094957376 NN  _dentist
-7.41799159006 NN  _pail
-8.11094957376 NN  _handkerchief
-7.41799159006 NN  _rod
-7.01258955553 NN  _leaf
-8.11094957376 NN  _cut
-6.72493902136 NN  _hippopotamus
-7.41799159006 NN  _front
-7.01258955553 NN  _tow
-8.80371846796 NN  _square
-7.19488588242 NN  _football
-8.80371846796 NN  _blackboard
-6.1653637841 NN  _telephone
-8.80371846796 NN  _jelly
-8.11094957376 NN  _fruit
-6.40651109503 NN  _film
-7.70561059292 NN  _policeman
-8.80371846796 NN  _market
-7.70561059292 NN  _library
-6.40651109503 NN  _tractor
-7.19488588242 NN  _skin
-8.80371846796 NN  _wonder
-6.72493902136 NN  _that
-6.72493902136 NN  _elephant
-7.70561059292 NN  _dessert
-6.31950545253 NN  _machine
-8.11094957376 NN  _kit
-8.80371846796 NN  _greenery
-6.72493902136 NN  _shovel
-8.80371846796 NN  _scanner
-5.75991669905 NN  _bird
-8.80371846796 NN  _roast
-8.80371846796 NN  _dish
-8.80371846796 NN  _spring
-8.11094957376 NN  _viewer
-7.70561059292 NN  _xl
-7.70561059292 NN  _fly
-4.91262398816 NN  _hat
-6.85845689746 NN  _medicine
-8.80371846796 NN  _porridge
-8.11094957376 NN  _ivy
-7.70561059292 NN  _flag
-8.11094957376 NN  _walrus
-8.80371846796 NN  _sky
-8.80371846796 NN  _tiger
-6.60716649868 NN  _pineapple
-6.31950545253 NN  _seal
-6.03181549516 NN  _money
-8.80371846796 NN  _pair
-8.80371846796 NN  _kite
-8.11094957376 NN  _scout
-7.19488588242 NN  _moustache
-7.41799159006 NN  _piggie
-7.4178023932 NN  _dear
-8.80371846796 NN  _score
-8.11094957376 NN  _jackinthebox
-6.72493902136 NN  _space
-16.6837666689 NN  _racing
-8.11094957376 NN  _farmer
-7.19488588242 NN  _fence
-8.11094957376 NN  _trombone
-6.85845689746 NN  _king
-8.11094957376 NN  _fireplace
-8.80371846796 NN  _tsquare
-7.01258955553 NN  _whale
-7.70561059292 NN  _bump
-8.11094957376 NN  _test
-7.70561059292 NN  _cereal
-5.85999636325 NN  _circus
-8.11094957376 NN  _dining
-8.80371846796 NN  _bluejay
-8.80371846796 NN  _mess
-8.80371846796 NN  _napkin
-7.19488588242 NN  _plastic
-5.8087050609 NN  _thing
-8.80371846796 NN  _worth
-6.23946759714 NN  _end
-8.80371846796 NN  _apartment
-8.80371846796 NN  _drummer
-8.80371846796 NN  _grocery
-8.80371846796 NN  _loop
-8.80371846796 NN  _clothing
-6.60716649868 NN  _pig
-8.11094957376 NN  _penguin
-8.80371846796 NN  _cabinet
-8.80371846796 NN  _most
-8.80371846796 NN  _silverware
-7.70561059292 NN  _throat
-8.80371846796 NN  _wrist
-8.80371846796 NN  _grasshopper
-8.80371846796 NN  _dingdong
-6.40651109503 NN  _church
-5.37045135089 NN  _cup
-8.11094957376 NN  _cupcake
-6.60716649868 NN  _puppy
-7.01258955553 NN  _birthday
-7.01258955553 NN  _neck
-8.80371846796 NN  _flypaper
-5.50861028111 NN  _song
-7.41799159006 NN  _fishing
-7.41799159006 NN  _gum
-8.80371846796 NN  _cane
-8.80371846796 NN  _extension
-8.80371846796 NN  _dodge
-5.33864466024 NN  _something
-6.23943848378 NN  _driver
-5.62637404198 NN  _word
